docID, likelihood 
0, -666.6434965538 
1, -644.5139603370 
2, -567.4346308395 
3, -597.2869939507 
4, -535.8198717342 
5, -677.6054341930 
6, -738.6804131491 
7, -651.9708414208 
8, -671.6138741519 
9, -614.4582621824 
10, -603.5902732671 
11, -791.7376289689 
12, -805.7259148533 
13, -801.0395102454 
14, -754.3214264190 
15, -750.4954172557 
16, -833.5555114777 
17, -960.1446859368 
18, -431.2581869101 
19, -558.9044042485 
20, -549.8567761950 
21, -713.2040199606 
22, -608.8124647993 
23, -630.3590264091 
24, -788.7653995687 
25, -616.4263427851 
26, -609.4974955062 
27, -534.5723312571 
28, -760.0086263165 
29, -630.2596456925 
30, -667.6991842142 
31, -998.3905105255 
32, -626.3001451447 
33, -808.9950146372 
34, -742.9993774069 
35, -852.8701255777 
36, -1078.9070412271 
37, -878.7152868493 
38, -1309.0779767817 
39, -789.2065178465 
40, -979.7854629526 
41, -761.0749717609 
42, -884.6657644694 
43, -1316.7741669091 
44, -950.1300091533 
45, -659.6340504003 
46, -828.1208671996 
47, -1139.0300341595 
48, -911.6916758005 
49, -1104.8139610530 
50, -782.0650527048 
51, -945.0706553526 
52, -1168.2118586117 
53, -921.0702741336 
54, -613.8649305546 
55, -1028.6142866160 
56, -839.5933497031 
57, -950.5700376927 
58, -450.0404333060 
59, -852.7524967396 
60, -952.5063162988 
61, -893.7703574306 
62, -886.5605951359 
63, -1037.4288528337 
64, -919.9815680110 
65, -764.8961169333 
66, -829.0390495432 
67, -712.4768032833 
68, -971.7743386787 
69, -1021.8515771286 
70, -890.8123069897 
71, -784.1589616531 
72, -753.5490011109 
73, -795.6723505710 
74, -795.6292901419 
75, -721.9370954001 
76, -450.6307798715 
77, -672.0911040698 
78, -1046.0429596821 
79, -798.7912219758 
80, -654.4052690852 
81, -724.9680082063 
82, -1220.0362450284 
83, -814.3927911032 
84, -1198.6769960707 
85, -807.6514865281 
86, -916.3751264324 
87, -589.5150431149 
88, -984.8571480097 
89, -1191.3176042369 
90, -694.2962902189 
91, -626.5141229502 
92, -1166.9491867586 
93, -886.1255565577 
94, -613.8840126332 
95, -731.7409916426 
96, -990.5565640501 
97, -1054.2912834512 
98, -1083.0448220215 
99, -847.1568412220 
100, -711.0131734610 
101, -822.3825526404 
102, -674.3014908918 
103, -662.6589277607 
104, -786.1696898235 
105, -856.8512338136 
106, -1243.8752927910 
107, -691.5611087315 
108, -861.1750220445 
109, -773.7119805473 
110, -507.2019386273 
111, -509.1840019630 
112, -437.3920315528 
113, -628.2137369472 
114, -641.2440013270 
115, -548.9158337138 
116, -1114.1490669426 
117, -618.4444345515 
118, -683.3363024313 
119, -592.9357142146 
120, -603.1146442502 
121, -810.8420694913 
122, -731.0624076258 
123, -663.7060291873 
124, -573.1905991142 
125, -570.6629125697 
126, -803.1676321767 
127, -906.5149813569 
128, -1062.1105853089 
129, -635.8795939773 
130, -842.4704216551 
131, -934.7480224592 
132, -981.1508683248 
133, -597.2841155052 
134, -996.1451765110 
135, -575.4342482400 
136, -861.5339289533 
137, -473.5147964515 
138, -753.7233300154 
139, -644.8146347263 
140, -780.2832010104 
141, -731.6577352797 
142, -792.2961927387 
143, -956.7417966589 
144, -661.6028645668 
145, -788.4734280246 
146, -598.7346573692 
147, -649.9312640634 
148, -735.5437304793 
149, -812.5622142804 
150, -767.9738199742 
151, -350.4997984879 
152, -907.2216193250 
153, -675.3504991704 
154, -631.5203113660 
155, -710.1785058501 
156, -793.4946777706 
157, -912.0715712920 
158, -837.8647123797 
159, -753.3361154774 
160, -941.8797985130 
161, -789.0117122095 
162, -577.4694869963 
163, -936.4100214810 
164, -670.9363647678 
165, -743.1896144530 
166, -778.7468628270 
167, -1047.4235286501 
168, -962.2015038553 
169, -978.3977866452 
170, -1067.6408053729 
171, -797.8877777376 
172, -963.9042131745 
173, -1123.2898378756 
174, -745.4366706826 
175, -1281.4045342152 
176, -915.3742192936 
177, -587.2777878051 
178, -772.1681412486 
179, -644.0593052681 
180, -737.3800782760 
181, -850.1812770622 
182, -596.1466613365 
183, -865.4409665754 
184, -885.4559773674 
185, -928.7639413262 
186, -853.2148213225 
187, -922.6791877304 
188, -992.1338424068 
189, -780.2623704734 
190, -940.6966559662 
191, -767.8239310699 
192, -1141.6460319196 
193, -1097.8538370377 
194, -1156.3708551140 
195, -1048.8052210926 
196, -633.7204714329 
197, -874.8589376445 
198, -645.8579499145 
199, -1021.0182558776 
200, -996.0462456933 
201, -814.6261375221 
202, -729.4432129858 
203, -653.4051909261 
204, -551.7480506965 
205, -930.4905008508 
206, -535.2811685790 
207, -1032.9474699191 
208, -866.5020847344 
209, -875.0056664863 
210, -957.9733190588 
211, -883.5697183585 
212, -718.1896609875 
213, -961.3581814775 
214, -699.2300274140 
215, -531.8635964702 
216, -800.4548338229 
217, -640.7811779545 
218, -711.2424947748 
219, -919.3229550294 
