Iteration, Likelihood, Converged 
1, -48077213.9591675100, 1.#INF0e+000 
2, -45409974.7171120720, 5.54782e-002 
3, -41115584.8901874420, 9.45693e-002 
4, -40120603.0181975140, 2.41996e-002 
5, -39660835.0317852350, 1.14596e-002 
6, -39495510.0512988270, 4.16847e-003 
7, -39424841.7816875870, 1.78927e-003 
8, -39389756.8641737480, 8.89919e-004 
9, -39357017.1365797220, 8.31174e-004 
10, -39317223.2009918390, 1.01110e-003 
11, -39284927.3813201560, 8.21417e-004 
12, -39252568.2352219520, 8.23704e-004 
13, -39217874.5690454620, 8.83857e-004 
14, -39194382.8535031750, 5.99005e-004 
15, -39176539.9392080610, 4.55242e-004 
16, -39154327.8339228700, 5.66975e-004 
17, -39125768.0852771030, 7.29415e-004 
18, -39098288.1623469370, 7.02348e-004 
19, -39078031.1797146130, 5.18104e-004 
20, -39065778.9127295540, 3.13533e-004 
21, -39058845.6744399670, 1.77476e-004 
22, -39053626.1343817790, 1.33633e-004 
23, -39049979.8279527650, 9.33667e-005 
